"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"merged_models.nlogox"
"find-best-dog-number-hybrid"
"02/11/2026 18:43:35:918 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-dogs","num-sheep","dog-speed","dog-strategy","[step]","get-success-percentage","get-tick-50pct","get-tick-80pct","get-tick-95pct","get-tick-100pct","current-run-seed","num-dogs","scenario","max-speed","dog-speed","k-neighbors","separation-distance","separation-weight","cohesion-weight","alignment-weight","fear-of-dogs","noise"
"2","1","100","0.5","Surround + Drive","10001","9.15923009623797","1128","1338","-1","-1","2026281038","1","Target","8","0.5","4","3","15","60","1","50","0"
"4","3","100","0.5","Surround + Drive","10001","76.47569053868267","1050","1119","2231","-1","-1817750434","3","Target","8","0.5","4","3","15","60","1","50","0"
"1","0","100","0.5","Surround + Drive","10001","7.145106861642295","-1","-1","-1","-1","299845941","0","Target","8","0.5","4","3","15","60","1","50","0"
"9","8","100","0.5","Surround + Drive","10001","31.607799025121857","3233","3986","-1","-1","-1977974282","8","Target","8","0.5","4","3","15","60","1","50","0"
"8","7","100","0.5","Surround + Drive","10001","7.602299712535933","8290","-1","-1","-1","610760946","7","Target","8","0.5","4","3","15","60","1","50","0"
"12","12","100","0.5","Surround + Drive","10001","29.47969003874516","1170","8634","-1","-1","-1185216292","12","Target","8","0.5","4","3","15","60","1","50","0"
"3","2","100","0.5","Surround + Drive","10001","15.009873765779277","496","716","3337","-1","188753599","2","Target","8","0.5","4","3","15","60","1","50","0"
"5","4","100","0.5","Surround + Drive","10001","100","571","601","684","696","1916017868","4","Target","8","0.5","4","3","15","60","1","50","0"
"7","6","100","0.5","Surround + Drive","10001","40.21609798775153","991","2523","-1","-1","2050234118","6","Target","8","0.5","4","3","15","60","1","50","0"
"6","5","100","0.5","Surround + Drive","10001","100","217","266","297","306","153844038","5","Target","8","0.5","4","3","15","60","1","50","0"
"11","10","100","0.5","Surround + Drive","10001","100","248","260","277","285","-451468220","10","Target","8","0.5","4","3","15","60","1","50","0"
"10","9","100","0.5","Surround + Drive","10001","100","376","381","384","389","616238751","9","Target","8","0.5","4","3","15","60","1","50","0"
"17","0","100","0.7","Surround + Drive","10001","23.301212348456442","2092","8327","8342","-1","1686952580","0","Target","8","0.7","4","3","15","60","1","50","0"
"20","3","100","0.7","Surround + Drive","10001","77.04549431321085","971","2623","3456","4848","-2115200174","3","Target","8","0.7","4","3","15","60","1","50","0"
"13","15","100","0.5","Surround + Drive","10001","23.17835270591176","1884","7938","-1","-1","1711299789","15","Target","8","0.5","4","3","15","60","1","50","0"
"19","2","100","0.7","Surround + Drive","10001","22.934633170853644","859","3081","3092","-1","-625564391","2","Target","8","0.7","4","3","15","60","1","50","0"
"16","30","100","0.5","Surround + Drive","10001","31.359830021247344","849","2021","2581","-1","1918432134","30","Target","8","0.5","4","3","15","60","1","50","0"
"21","4","100","0.7","Surround + Drive","10001","100","323","350","467","506","1227678051","4","Target","8","0.7","4","3","15","60","1","50","0"
"18","1","100","0.7","Surround + Drive","10001","0","-1","-1","-1","-1","-1043973335","1","Target","8","0.7","4","3","15","60","1","50","0"
"22","5","100","0.7","Surround + Drive","10001","100","221","228","239","248","-700941306","5","Target","8","0.7","4","3","15","60","1","50","0"
"23","6","100","0.7","Surround + Drive","10001","100","257","272","279","284","7633566","6","Target","8","0.7","4","3","15","60","1","50","0"
"14","20","100","0.5","Surround + Drive","10001","100","95","102","110","117","-452661975","20","Target","8","0.5","4","3","15","60","1","50","0"
"24","7","100","0.7","Surround + Drive","10001","100","341","346","349","351","-597456475","7","Target","8","0.7","4","3","15","60","1","50","0"
"15","25","100","0.5","Surround + Drive","10001","100","126","129","133","140","1495799689","25","Target","8","0.5","4","3","15","60","1","50","0"
"25","8","100","0.7","Surround + Drive","10001","100","217","226","235","240","-409352858","8","Target","8","0.7","4","3","15","60","1","50","0"
"26","9","100","0.7","Surround + Drive","10001","100","169","175","181","185","1441216381","9","Target","8","0.7","4","3","15","60","1","50","0"
"33","0","100","1","Surround + Drive","10001","11.87076615423072","-1","-1","-1","-1","954550765","0","Target","8","1","4","3","15","60","1","50","0"
"27","10","100","0.7","Surround + Drive","10001","100","192","198","208","217","-297838038","10","Target","8","0.7","4","3","15","60","1","50","0"
"34","1","100","1","Surround + Drive","10001","0.10511186101737284","-1","-1","-1","-1","622459038","1","Target","8","1","4","3","15","60","1","50","0"
"29","15","100","0.7","Surround + Drive","10001","100","148","157","160","163","-1856164765","15","Target","8","0.7","4","3","15","60","1","50","0"
"28","12","100","0.7","Surround + Drive","10001","100","148","157","191","199","649981892","12","Target","8","0.7","4","3","15","60","1","50","0"
"35","2","100","1","Surround + Drive","10001","14.865641794775652","2269","-1","-1","-1","-1187584085","2","Target","8","1","4","3","15","60","1","50","0"
"30","20","100","0.7","Surround + Drive","10001","100","102","107","113","120","1542862946","20","Target","8","0.7","4","3","15","60","1","50","0"
"36","3","100","1","Surround + Drive","10001","72.82427196600425","869","2104","3285","-1","5956751","3","Target","8","1","4","3","15","60","1","50","0"
"31","25","100","0.7","Surround + Drive","10001","100","143","149","158","165","761150705","25","Target","8","0.7","4","3","15","60","1","50","0"
"32","30","100","0.7","Surround + Drive","10001","100","59","66","78","88","-1299307985","30","Target","8","0.7","4","3","15","60","1","50","0"
"37","4","100","1","Surround + Drive","10001","100","912","965","1061","1071","-1790152849","4","Target","8","1","4","3","15","60","1","50","0"
"38","5","100","1","Surround + Drive","10001","100","155","163","170","175","-1930923175","5","Target","8","1","4","3","15","60","1","50","0"
"39","6","100","1","Surround + Drive","10001","100","185","206","267","279","-1205704632","6","Target","8","1","4","3","15","60","1","50","0"
"40","7","100","1","Surround + Drive","10001","100","221","251","264","273","-1427821282","7","Target","8","1","4","3","15","60","1","50","0"
"41","8","100","1","Surround + Drive","10001","100","114","124","133","136","1075213449","8","Target","8","1","4","3","15","60","1","50","0"
"42","9","100","1","Surround + Drive","10001","100","117","123","130","134","-1540281643","9","Target","8","1","4","3","15","60","1","50","0"
"43","10","100","1","Surround + Drive","10001","100","110","113","128","134","1270373286","10","Target","8","1","4","3","15","60","1","50","0"
"44","12","100","1","Surround + Drive","10001","100","174","184","194","197","226072890","12","Target","8","1","4","3","15","60","1","50","0"
"45","15","100","1","Surround + Drive","10001","100","144","154","163","167","1209076617","15","Target","8","1","4","3","15","60","1","50","0"
"46","20","100","1","Surround + Drive","10001","100","96","100","103","105","1073907138","20","Target","8","1","4","3","15","60","1","50","0"
"47","25","100","1","Surround + Drive","10001","100","82","87","91","99","-660964609","25","Target","8","1","4","3","15","60","1","50","0"
"48","30","100","1","Surround + Drive","10001","100","78","89","92","97","1741848468","30","Target","8","1","4","3","15","60","1","50","0"
"49","0","100","1.2","Surround + Drive","10001","12.742032245969254","1604","-1","-1","-1","1096987355","0","Target","8","1.2","4","3","15","60","1","50","0"
"50","1","100","1.2","Surround + Drive","10001","0.002499687539057618","-1","-1","-1","-1","-1539585243","1","Target","8","1.2","4","3","15","60","1","50","0"
"51","2","100","1.2","Surround + Drive","10001","8.201849768778903","349","-1","-1","-1","366052298","2","Target","8","1.2","4","3","15","60","1","50","0"
"52","3","100","1.2","Surround + Drive","10001","76.42857142857143","414","563","1498","-1","-43114391","3","Target","8","1.2","4","3","15","60","1","50","0"
"53","4","100","1.2","Surround + Drive","10001","100","315","355","509","525","-1956060556","4","Target","8","1.2","4","3","15","60","1","50","0"
"54","5","100","1.2","Surround + Drive","10001","100","322","327","334","346","-810653464","5","Target","8","1.2","4","3","15","60","1","50","0"
"55","6","100","1.2","Surround + Drive","10001","100","166","178","192","196","772725105","6","Target","8","1.2","4","3","15","60","1","50","0"
"56","7","100","1.2","Surround + Drive","10001","100","203","215","223","226","-1194170867","7","Target","8","1.2","4","3","15","60","1","50","0"
"57","8","100","1.2","Surround + Drive","10001","100","156","159","164","169","2107681757","8","Target","8","1.2","4","3","15","60","1","50","0"
"58","9","100","1.2","Surround + Drive","10001","100","90","132","139","144","-1952545422","9","Target","8","1.2","4","3","15","60","1","50","0"
"59","10","100","1.2","Surround + Drive","10001","100","114","121","125","130","2078365608","10","Target","8","1.2","4","3","15","60","1","50","0"
"60","12","100","1.2","Surround + Drive","10001","100","105","112","117","122","1785975639","12","Target","8","1.2","4","3","15","60","1","50","0"
"61","15","100","1.2","Surround + Drive","10001","100","174","179","185","188","-1069298518","15","Target","8","1.2","4","3","15","60","1","50","0"
"62","20","100","1.2","Surround + Drive","10001","100","93","144","159","164","-679566497","20","Target","8","1.2","4","3","15","60","1","50","0"
"65","0","100","1.4","Surround + Drive","10001","2.222597175353081","-1","-1","-1","-1","542157461","0","Target","8","1.4","4","3","15","60","1","50","0"
"66","1","100","1.4","Surround + Drive","10001","0.24084489438820147","368","-1","-1","-1","-1444002018","1","Target","8","1.4","4","3","15","60","1","50","0"
"63","25","100","1.2","Surround + Drive","10001","100","76","80","86","92","1648470941","25","Target","8","1.2","4","3","15","60","1","50","0"
"67","2","100","1.4","Surround + Drive","10001","21.292463442069742","475","832","-1","-1","-1809453707","2","Target","8","1.4","4","3","15","60","1","50","0"
"68","3","100","1.4","Surround + Drive","10001","61.5291838520185","312","530","6540","6758","556278153","3","Target","8","1.4","4","3","15","60","1","50","0"
"64","30","100","1.2","Surround + Drive","10001","100","116","120","129","135","-1818235118","30","Target","8","1.2","4","3","15","60","1","50","0"
"69","4","100","1.4","Surround + Drive","10001","100","529","594","644","669","78357678","4","Target","8","1.4","4","3","15","60","1","50","0"
"70","5","100","1.4","Surround + Drive","10001","100","310","339","351","359","1830297599","5","Target","8","1.4","4","3","15","60","1","50","0"
"71","6","100","1.4","Surround + Drive","10001","100","199","210","214","218","-657070965","6","Target","8","1.4","4","3","15","60","1","50","0"
"72","7","100","1.4","Surround + Drive","10001","100","139","167","182","186","-1400930591","7","Target","8","1.4","4","3","15","60","1","50","0"
"73","8","100","1.4","Surround + Drive","10001","100","322","329","342","350","355526634","8","Target","8","1.4","4","3","15","60","1","50","0"
"74","9","100","1.4","Surround + Drive","10001","100","90","98","106","114","-283657015","9","Target","8","1.4","4","3","15","60","1","50","0"
"75","10","100","1.4","Surround + Drive","10001","100","78","83","88","92","2133203241","10","Target","8","1.4","4","3","15","60","1","50","0"
"76","12","100","1.4","Surround + Drive","10001","100","70","81","87","93","-1241944766","12","Target","8","1.4","4","3","15","60","1","50","0"
"81","0","100","1.7","Surround + Drive","10001","17.873140857392826","3660","4218","-1","-1","-490216963","0","Target","8","1.7","4","3","15","60","1","50","0"
"77","15","100","1.4","Surround + Drive","10001","100","70","78","84","90","-820714711","15","Target","8","1.4","4","3","15","60","1","50","0"
"78","20","100","1.4","Surround + Drive","10001","100","66","72","76","81","1889824642","20","Target","8","1.4","4","3","15","60","1","50","0"
"82","1","100","1.7","Surround + Drive","10001","0.27671541057367827","-1","-1","-1","-1","-318390354","1","Target","8","1.7","4","3","15","60","1","50","0"
"79","25","100","1.4","Surround + Drive","10001","100","100","108","110","111","-2022008262","25","Target","8","1.4","4","3","15","60","1","50","0"
"83","2","100","1.7","Surround + Drive","10001","13.195100612423447","8068","-1","-1","-1","-1973350899","2","Target","8","1.7","4","3","15","60","1","50","0"
"80","30","100","1.4","Surround + Drive","10001","100","85","90","95","98","-104039839","30","Target","8","1.4","4","3","15","60","1","50","0"
"84","3","100","1.7","Surround + Drive","10001","76.01412323459567","289","1705","2518","6667","-216412123","3","Target","8","1.7","4","3","15","60","1","50","0"
"86","5","100","1.7","Surround + Drive","10001","100","242","260","267","272","-816719781","5","Target","8","1.7","4","3","15","60","1","50","0"
"85","4","100","1.7","Surround + Drive","10001","100","452","510","536","695","1400542510","4","Target","8","1.7","4","3","15","60","1","50","0"
"87","6","100","1.7","Surround + Drive","10001","100","158","188","200","206","1204102092","6","Target","8","1.7","4","3","15","60","1","50","0"
"88","7","100","1.7","Surround + Drive","10001","100","130","141","146","151","1451708138","7","Target","8","1.7","4","3","15","60","1","50","0"
"89","8","100","1.7","Surround + Drive","10001","100","93","98","103","108","1617720074","8","Target","8","1.7","4","3","15","60","1","50","0"
"90","9","100","1.7","Surround + Drive","10001","100","99","106","111","117","-1388773947","9","Target","8","1.7","4","3","15","60","1","50","0"
"91","10","100","1.7","Surround + Drive","10001","100","67","75","80","82","-41208848","10","Target","8","1.7","4","3","15","60","1","50","0"
"92","12","100","1.7","Surround + Drive","10001","100","87","91","98","102","191791795","12","Target","8","1.7","4","3","15","60","1","50","0"
"93","15","100","1.7","Surround + Drive","10001","100","89","94","104","108","-963059925","15","Target","8","1.7","4","3","15","60","1","50","0"
"94","20","100","1.7","Surround + Drive","10001","100","67","70","73","76","-966942127","20","Target","8","1.7","4","3","15","60","1","50","0"
"95","25","100","1.7","Surround + Drive","10001","100","65","72","74","76","526612083","25","Target","8","1.7","4","3","15","60","1","50","0"
"96","30","100","1.7","Surround + Drive","10001","100","63","67","73","78","-1331659044","30","Target","8","1.7","4","3","15","60","1","50","0"
"97","0","100","2","Surround + Drive","10001","15.80039995000625","1809","9327","9390","9419","-851979559","0","Target","8","2","4","3","15","60","1","50","0"
"98","1","100","2","Surround + Drive","10001","0.00424946881639795","-1","-1","-1","-1","619707378","1","Target","8","2","4","3","15","60","1","50","0"
"99","2","100","2","Surround + Drive","10001","17.39095113110861","359","-1","-1","-1","9902591","2","Target","8","2","4","3","15","60","1","50","0"
"100","3","100","2","Surround + Drive","10001","69.19210098737658","313","407","1330","1479","2085464806","3","Target","8","2","4","3","15","60","1","50","0"
"101","4","100","2","Surround + Drive","10001","100","258","285","315","330","-1814722068","4","Target","8","2","4","3","15","60","1","50","0"
"102","5","100","2","Surround + Drive","10001","100","276","287","297","302","-879639202","5","Target","8","2","4","3","15","60","1","50","0"
"103","6","100","2","Surround + Drive","10001","100","96","104","110","115","-911427814","6","Target","8","2","4","3","15","60","1","50","0"
"104","7","100","2","Surround + Drive","10001","100","97","101","105","107","575895495","7","Target","8","2","4","3","15","60","1","50","0"
"105","8","100","2","Surround + Drive","10001","100","114","124","132","135","529812009","8","Target","8","2","4","3","15","60","1","50","0"
"106","9","100","2","Surround + Drive","10001","100","116","124","130","136","788498775","9","Target","8","2","4","3","15","60","1","50","0"
"107","10","100","2","Surround + Drive","10001","100","180","187","200","204","1314002182","10","Target","8","2","4","3","15","60","1","50","0"
"108","12","100","2","Surround + Drive","10001","100","80","85","89","94","529641171","12","Target","8","2","4","3","15","60","1","50","0"
"109","15","100","2","Surround + Drive","10001","100","108","115","119","124","-894483210","15","Target","8","2","4","3","15","60","1","50","0"
"110","20","100","2","Surround + Drive","10001","100","61","67","72","77","-2101724093","20","Target","8","2","4","3","15","60","1","50","0"
"113","0","100","2.5","Surround + Drive","10001","4.094613173353331","-1","-1","-1","-1","1491347775","0","Target","8","2.5","4","3","15","60","1","50","0"
"114","1","100","2.5","Surround + Drive","10001","0","386","-1","-1","-1","-1641701027","1","Target","8","2.5","4","3","15","60","1","50","0"
"111","25","100","2","Surround + Drive","10001","100","80","84","90","97","1124713270","25","Target","8","2","4","3","15","60","1","50","0"
"115","2","100","2.5","Surround + Drive","10001","10.074115735533058","603","695","-1","-1","1766010049","2","Target","8","2.5","4","3","15","60","1","50","0"
"112","30","100","2","Surround + Drive","10001","100","58","60","63","66","-113789193","30","Target","8","2","4","3","15","60","1","50","0"
"116","3","100","2.5","Surround + Drive","10001","98.89938757655293","919","1664","2042","2335","1465761161","3","Target","8","2.5","4","3","15","60","1","50","0"
"117","4","100","2.5","Surround + Drive","10001","100","276","494","603","611","560516888","4","Target","8","2.5","4","3","15","60","1","50","0"
"118","5","100","2.5","Surround + Drive","10001","100","325","350","361","368","667911971","5","Target","8","2.5","4","3","15","60","1","50","0"
"119","6","100","2.5","Surround + Drive","10001","100","370","376","379","384","-497396179","6","Target","8","2.5","4","3","15","60","1","50","0"
"120","7","100","2.5","Surround + Drive","10001","100","149","155","159","162","-235342332","7","Target","8","2.5","4","3","15","60","1","50","0"
"121","8","100","2.5","Surround + Drive","10001","100","115","127","132","136","1757886669","8","Target","8","2.5","4","3","15","60","1","50","0"
"122","9","100","2.5","Surround + Drive","10001","100","82","103","118","124","1337103379","9","Target","8","2.5","4","3","15","60","1","50","0"
"123","10","100","2.5","Surround + Drive","10001","100","83","90","96","103","-651905291","10","Target","8","2.5","4","3","15","60","1","50","0"
"124","12","100","2.5","Surround + Drive","10001","100","56","62","67","71","854678024","12","Target","8","2.5","4","3","15","60","1","50","0"
"125","15","100","2.5","Surround + Drive","10001","100","57","61","64","70","694952691","15","Target","8","2.5","4","3","15","60","1","50","0"
"129","0","100","3","Surround + Drive","10001","31.13698287714036","4688","8089","8360","-1","-1912653652","0","Target","8","3","4","3","15","60","1","50","0"
"126","20","100","2.5","Surround + Drive","10001","100","56","58","61","64","-502936161","20","Target","8","2.5","4","3","15","60","1","50","0"
"130","1","100","3","Surround + Drive","10001","0.05986751656042995","-1","-1","-1","-1","-1263624344","1","Target","8","3","4","3","15","60","1","50","0"
"127","25","100","2.5","Surround + Drive","10001","100","53","60","63","65","-864747344","25","Target","8","2.5","4","3","15","60","1","50","0"
"131","2","100","3","Surround + Drive","10001","9.345831771028621","389","968","-1","-1","1972816797","2","Target","8","3","4","3","15","60","1","50","0"
"128","30","100","2.5","Surround + Drive","10001","100","46","50","53","55","1734225574","30","Target","8","2.5","4","3","15","60","1","50","0"
"132","3","100","3","Surround + Drive","10001","76.93163354580678","1848","4257","4879","5761","-1746761364","3","Target","8","3","4","3","15","60","1","50","0"
"133","4","100","3","Surround + Drive","10001","100","206","217","231","253","-1333291227","4","Target","8","3","4","3","15","60","1","50","0"
"134","5","100","3","Surround + Drive","10001","100","291","304","311","319","-2126370940","5","Target","8","3","4","3","15","60","1","50","0"
"135","6","100","3","Surround + Drive","10001","100","247","257","268","274","-726847301","6","Target","8","3","4","3","15","60","1","50","0"
