"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"merged_models.nlogox"
"find-best-dog-number-rotate"
"02/11/2026 18:40:07:764 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-dogs","num-sheep","dog-speed","dog-strategy","[step]","get-success-percentage","get-tick-50pct","get-tick-80pct","get-tick-95pct","get-tick-100pct","current-run-seed","num-dogs","scenario","max-speed","dog-speed","k-neighbors","separation-distance","separation-weight","cohesion-weight","alignment-weight","fear-of-dogs","noise"
"12","0","100","0.7","Rotate","10000","3.7241249999999995","-1","-1","-1","-1","1964374041","0","Target","8","0.7","4","3","15","60","1","50","0"
"2","0","100","0.5","Rotate","10000","2.1345","9920","-1","-1","-1","135737944","0","Target","8","0.5","4","3","15","60","1","50","0"
"7","0","100","0.5","Rotate","10000","29.095875","2749","3796","4010","4015","1780120986","0","Target","8","0.5","4","3","15","60","1","50","0"
"5","0","100","0.5","Rotate","10000","34.517","4347","5927","6966","7097","-1242289118","0","Target","8","0.5","4","3","15","60","1","50","0"
"10","0","100","0.5","Rotate","10000","7.062750000000001","2462","-1","-1","-1","-1134992063","0","Target","8","0.5","4","3","15","60","1","50","0"
"4","0","100","0.5","Rotate","10000","3.429375","-1","-1","-1","-1","1122454116","0","Target","8","0.5","4","3","15","60","1","50","0"
"9","0","100","0.5","Rotate","10000","4.88675","7899","-1","-1","-1","-874405423","0","Target","8","0.5","4","3","15","60","1","50","0"
"1","0","100","0.5","Rotate","10000","24.500625","1616","1765","1867","9601","1688310940","0","Target","8","0.5","4","3","15","60","1","50","0"
"6","0","100","0.5","Rotate","10000","12.130875","2126","-1","-1","-1","1863573248","0","Target","8","0.5","4","3","15","60","1","50","0"
"8","0","100","0.5","Rotate","10000","15.47625","6049","9879","-1","-1","-173501321","0","Target","8","0.5","4","3","15","60","1","50","0"
"3","0","100","0.5","Rotate","10000","28.045375","3981","5890","5980","-1","466055187","0","Target","8","0.5","4","3","15","60","1","50","0"
"11","0","100","0.7","Rotate","10000","6.038875","1228","-1","-1","-1","-1857517631","0","Target","8","0.7","4","3","15","60","1","50","0"
"15","0","100","0.7","Rotate","10000","11.210375","7096","7223","-1","-1","-1318665917","0","Target","8","0.7","4","3","15","60","1","50","0"
"14","0","100","0.7","Rotate","10000","18.9315","2512","2562","9838","-1","1202121568","0","Target","8","0.7","4","3","15","60","1","50","0"
"18","0","100","0.7","Rotate","10000","4.317625","-1","-1","-1","-1","-1735484231","0","Target","8","0.7","4","3","15","60","1","50","0"
"16","0","100","0.7","Rotate","10000","7.6625","2911","-1","-1","-1","73186681","0","Target","8","0.7","4","3","15","60","1","50","0"
"20","0","100","0.7","Rotate","10000","12.726","5687","-1","-1","-1","233348792","0","Target","8","0.7","4","3","15","60","1","50","0"
"19","0","100","0.7","Rotate","10000","3.128375","1816","-1","-1","-1","460218983","0","Target","8","0.7","4","3","15","60","1","50","0"
"13","0","100","0.7","Rotate","10000","22.29475","2743","8034","8481","8624","-109991424","0","Target","8","0.7","4","3","15","60","1","50","0"
"17","0","100","0.7","Rotate","10000","24.251375","2457","2996","3460","-1","923691393","0","Target","8","0.7","4","3","15","60","1","50","0"
"21","0","100","1","Rotate","10000","9.79225","1089","-1","-1","-1","1215664288","0","Target","8","1","4","3","15","60","1","50","0"
"24","0","100","1","Rotate","10000","5.322875","-1","-1","-1","-1","2114161619","0","Target","8","1","4","3","15","60","1","50","0"
"23","0","100","1","Rotate","10000","14.23275","4411","-1","-1","-1","-634615555","0","Target","8","1","4","3","15","60","1","50","0"
"22","0","100","1","Rotate","10000","22.73225","1256","1499","3034","3723","556408607","0","Target","8","1","4","3","15","60","1","50","0"
"25","0","100","1","Rotate","10000","13.932","900","4798","-1","-1","-1942385829","0","Target","8","1","4","3","15","60","1","50","0"
