"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"merged_models.nlogox"
"find-best-dog-number-surround"
"02/11/2026 18:46:58:527 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-dogs","num-sheep","dog-speed","dog-strategy","[step]","get-success-percentage","get-tick-50pct","get-tick-80pct","get-tick-95pct","get-tick-100pct","current-run-seed","num-dogs","scenario","max-speed","dog-speed","k-neighbors","separation-distance","separation-weight","cohesion-weight","alignment-weight","fear-of-dogs","noise"
"5","0","100","0.5","Surround","10000","32.153375","3807","3921","-1","-1","-595737609","0","Target","8","0.5","4","3","15","60","1","50","0"
"6","0","100","0.5","Surround","10000","28.22425","5311","8364","8437","8513","-538063800","0","Target","8","0.5","4","3","15","60","1","50","0"
"3","0","100","0.5","Surround","10000","1.41925","-1","-1","-1","-1","1094902886","0","Target","8","0.5","4","3","15","60","1","50","0"
"1","0","100","0.5","Surround","10000","2.601375","-1","-1","-1","-1","-561771564","0","Target","8","0.5","4","3","15","60","1","50","0"
"8","0","100","0.5","Surround","10000","0.316375","-1","-1","-1","-1","1487800925","0","Target","8","0.5","4","3","15","60","1","50","0"
"10","0","100","0.5","Surround","10000","8.998375","2983","-1","-1","-1","-1036923369","0","Target","8","0.5","4","3","15","60","1","50","0"
"9","0","100","0.5","Surround","10000","3.879375","-1","-1","-1","-1","-49344262","0","Target","8","0.5","4","3","15","60","1","50","0"
"4","0","100","0.5","Surround","10000","8.7735","2186","-1","-1","-1","953154369","0","Target","8","0.5","4","3","15","60","1","50","0"
"2","0","100","0.5","Surround","10000","10.574125","3315","-1","-1","-1","1713561685","0","Target","8","0.5","4","3","15","60","1","50","0"
"7","0","100","0.5","Surround","10000","9.2415","3824","-1","-1","-1","1946492870","0","Target","8","0.5","4","3","15","60","1","50","0"
"11","0","100","0.7","Surround","10000","20.297","3693","-1","-1","-1","-2130682040","0","Target","8","0.7","4","3","15","60","1","50","0"
"12","0","100","0.7","Surround","10000","8.104","1838","1964","-1","-1","-362598701","0","Target","8","0.7","4","3","15","60","1","50","0"
"13","0","100","0.7","Surround","10000","18.032875","643","1474","-1","-1","1554020308","0","Target","8","0.7","4","3","15","60","1","50","0"
"15","0","100","0.7","Surround","10000","13.668375","295","-1","-1","-1","-1745365097","0","Target","8","0.7","4","3","15","60","1","50","0"
"14","0","100","0.7","Surround","10000","13.392624999999999","3714","-1","-1","-1","-2118987947","0","Target","8","0.7","4","3","15","60","1","50","0"
