"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"merged_models.nlogox"
"find-max-sheep-number-hybrid"
"02/11/2026 18:45:26:301 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-dogs","num-sheep","dog-speed","dog-strategy","[step]","get-success-percentage","get-tick-50pct","get-tick-80pct","get-tick-95pct","get-tick-100pct","current-run-seed","num-dogs","scenario","max-speed","dog-speed","k-neighbors","separation-distance","separation-weight","cohesion-weight","alignment-weight","fear-of-dogs","noise"
"6","0","20","1.5","Surround + Drive","10000","3.5618749999999997","1935","1940","1944","1952","-947018806","0","Target","8","1.5","4","3","15","60","1","50","0"
"12","0","20","2","Surround + Drive","10000","6.946250000000001","1315","-1","-1","-1","1849835360","0","Target","8","2","4","3","15","60","1","50","0"
"11","0","20","2","Surround + Drive","10000","4.8706249999999995","4354","7944","7950","7952","310662134","0","Target","8","2","4","3","15","60","1","50","0"
"1","0","20","1","Surround + Drive","10000","0.05499999999999999","1417","-1","-1","-1","70094147","0","Target","8","1","4","3","15","60","1","50","0"
"4","0","20","1","Surround + Drive","10000","15.746875","927","4098","4114","4115","1963284989","0","Target","8","1","4","3","15","60","1","50","0"
"8","0","20","1.5","Surround + Drive","10000","13.214375","692","8143","-1","-1","77227097","0","Target","8","1.5","4","3","15","60","1","50","0"
"10","0","20","1.5","Surround + Drive","10000","13.434375000000001","805","5914","5921","5923","1710159963","0","Target","8","1.5","4","3","15","60","1","50","0"
"5","0","20","1","Surround + Drive","10000","0.685","-1","-1","-1","-1","-199716255","0","Target","8","1","4","3","15","60","1","50","0"
"7","0","20","1.5","Surround + Drive","10000","18.098125","924","4054","4062","4065","-223446856","0","Target","8","1.5","4","3","15","60","1","50","0"
"2","0","20","1","Surround + Drive","10000","15.135625","1038","1044","1047","1047","2039387408","0","Target","8","1","4","3","15","60","1","50","0"
"3","0","20","1","Surround + Drive","10000","3.478125","3815","5772","5785","5787","-1423792294","0","Target","8","1","4","3","15","60","1","50","0"
"9","0","20","1.5","Surround + Drive","10000","1.9325","8364","9002","9006","9017","-1613151882","0","Target","8","1.5","4","3","15","60","1","50","0"
"13","0","20","2","Surround + Drive","10000","11.328750000000001","1373","5836","5846","5846","1950182235","0","Target","8","2","4","3","15","60","1","50","0"
"14","0","20","2","Surround + Drive","10000","12.425625","306","1781","1784","1991","-1672069675","0","Target","8","2","4","3","15","60","1","50","0"
"15","0","20","2","Surround + Drive","10000","10.175","697","6417","6461","6524","1208055977","0","Target","8","2","4","3","15","60","1","50","0"
"21","0","20","3","Surround + Drive","10000","18.376875","579","2980","3036","3037","-105158036","0","Target","8","3","4","3","15","60","1","50","0"
"20","0","20","2.5","Surround + Drive","10000","20.240624999999998","2156","8002","8028","8029","1847569658","0","Target","8","2.5","4","3","15","60","1","50","0"
"19","0","20","2.5","Surround + Drive","10000","8.773125","1639","3260","3263","3269","-230496125","0","Target","8","2.5","4","3","15","60","1","50","0"
"18","0","20","2.5","Surround + Drive","10000","10.900000000000002","4049","6654","6671","6673","-1968894160","0","Target","8","2.5","4","3","15","60","1","50","0"
"16","0","20","2.5","Surround + Drive","10000","2.945","286","8682","8695","8696","-1852106372","0","Target","8","2.5","4","3","15","60","1","50","0"
"17","0","20","2.5","Surround + Drive","10000","17.274375","2000","2065","2073","3130","920116549","0","Target","8","2.5","4","3","15","60","1","50","0"
"22","0","20","3","Surround + Drive","10000","18.008750000000003","319","2389","2394","2396","1526003561","0","Target","8","3","4","3","15","60","1","50","0"
"24","0","20","3","Surround + Drive","10000","11.74875","613","2382","2514","2514","-46237068","0","Target","8","3","4","3","15","60","1","50","0"
"23","0","20","3","Surround + Drive","10000","10.4775","2240","3414","3420","3429","1001645293","0","Target","8","3","4","3","15","60","1","50","0"
"25","0","20","3","Surround + Drive","10000","7.25375","1075","-1","-1","-1","1669353118","0","Target","8","3","4","3","15","60","1","50","0"
"33","0","20","4","Surround + Drive","10000","11.61875","3747","3761","3770","3770","-1501005294","0","Target","8","4","4","3","15","60","1","50","0"
"27","0","20","3.5","Surround + Drive","10000","10.14375","8595","8709","8744","8745","1736219553","0","Target","8","3.5","4","3","15","60","1","50","0"
"26","0","20","3.5","Surround + Drive","10000","2.8968749999999996","984","3237","3273","-1","1017688116","0","Target","8","3.5","4","3","15","60","1","50","0"
"28","0","20","3.5","Surround + Drive","10000","5.354375","2942","-1","-1","-1","-934439129","0","Target","8","3.5","4","3","15","60","1","50","0"
"31","0","20","4","Surround + Drive","10000","3.3106249999999995","1549","4159","4167","4170","-545124285","0","Target","8","4","4","3","15","60","1","50","0"
"34","0","20","4","Surround + Drive","10000","16.2575","1643","-1","-1","-1","-1596893005","0","Target","8","4","4","3","15","60","1","50","0"
