"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"merged_models.nlogox"
"find-max-sheep-number-rotate"
"02/11/2026 18:42:01:732 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-dogs","num-sheep","dog-speed","dog-strategy","[step]","get-success-percentage","get-tick-50pct","get-tick-80pct","get-tick-95pct","get-tick-100pct","current-run-seed","num-dogs","scenario","max-speed","dog-speed","k-neighbors","separation-distance","separation-weight","cohesion-weight","alignment-weight","fear-of-dogs","noise"
"4","0","20","1","Rotate","10000","1.0687499999999999","4036","-1","-1","-1","-1584691379","0","Target","8","1","4","3","15","60","1","50","0"
"11","0","20","2","Rotate","10000","2.21125","3234","-1","-1","-1","-86161496","0","Target","8","2","4","3","15","60","1","50","0"
"2","0","20","1","Rotate","10000","2.9225000000000003","1166","-1","-1","-1","601174713","0","Target","8","1","4","3","15","60","1","50","0"
"5","0","20","1","Rotate","10000","6.10125","-1","-1","-1","-1","1692226112","0","Target","8","1","4","3","15","60","1","50","0"
"8","0","20","1.5","Rotate","10000","18.691875","3527","3540","3545","3545","-1350759818","0","Target","8","1.5","4","3","15","60","1","50","0"
"6","0","20","1.5","Rotate","10000","18.826875","1502","1791","1794","1819","1099358931","0","Target","8","1.5","4","3","15","60","1","50","0"
"12","0","20","2","Rotate","10000","3.635625","464","488","2024","2025","1775108582","0","Target","8","2","4","3","15","60","1","50","0"
"1","0","20","1","Rotate","10000","24.079375","627","2239","2243","2287","-278703837","0","Target","8","1","4","3","15","60","1","50","0"
"3","0","20","1","Rotate","10000","2.0456250000000002","2818","-1","-1","-1","1623305938","0","Target","8","1","4","3","15","60","1","50","0"
"9","0","20","1.5","Rotate","10000","8.66875","1382","8083","8088","8469","1695658415","0","Target","8","1.5","4","3","15","60","1","50","0"
"10","0","20","1.5","Rotate","10000","19.07625","617","5053","5067","5067","-578714646","0","Target","8","1.5","4","3","15","60","1","50","0"
"7","0","20","1.5","Rotate","10000","10.118750000000002","1607","1616","1622","1624","1048401927","0","Target","8","1.5","4","3","15","60","1","50","0"
"24","0","20","3","Rotate","10000","9.578125","2457","2465","2474","2475","-1019229339","0","Target","8","3","4","3","15","60","1","50","0"
"17","0","20","2.5","Rotate","10000","2.6149999999999998","448","-1","-1","-1","1893395057","0","Target","8","2.5","4","3","15","60","1","50","0"
"13","0","20","2","Rotate","10000","15.306875","381","6098","6114","6115","1885485896","0","Target","8","2","4","3","15","60","1","50","0"
"20","0","20","2.5","Rotate","10000","8.2575","498","-1","-1","-1","856281209","0","Target","8","2.5","4","3","15","60","1","50","0"
"23","0","20","3","Rotate","10000","5.204375","608","4169","4187","4189","1344704269","0","Target","8","3","4","3","15","60","1","50","0"
"18","0","20","2.5","Rotate","10000","2.19625","1187","-1","-1","-1","-7183531","0","Target","8","2.5","4","3","15","60","1","50","0"
"19","0","20","2.5","Rotate","10000","18.730625","914","2248","2257","2257","-1840024870","0","Target","8","2.5","4","3","15","60","1","50","0"
"16","0","20","2.5","Rotate","10000","15.551874999999999","2252","2297","2966","2966","-1412816481","0","Target","8","2.5","4","3","15","60","1","50","0"
"22","0","20","3","Rotate","10000","15.922500000000001","1376","3781","3792","3796","1663189578","0","Target","8","3","4","3","15","60","1","50","0"
"21","0","20","3","Rotate","10000","21.93875","1964","2025","2037","2037","-357497703","0","Target","8","3","4","3","15","60","1","50","0"
"15","0","20","2","Rotate","10000","3.3512500000000003","692","-1","-1","-1","1527334402","0","Target","8","2","4","3","15","60","1","50","0"
"14","0","20","2","Rotate","10000","6.08","-1","-1","-1","-1","-1131021626","0","Target","8","2","4","3","15","60","1","50","0"
"30","0","20","3.5","Rotate","10000","0.954375","7874","7885","-1","-1","1751786831","0","Target","8","3.5","4","3","15","60","1","50","0"
"32","0","20","4","Rotate","10000","1.3725","1026","-1","-1","-1","-1693030599","0","Target","8","4","4","3","15","60","1","50","0"
"26","0","20","3.5","Rotate","10000","5.88375","4269","4877","4884","4885","1933424924","0","Target","8","3.5","4","3","15","60","1","50","0"
"25","0","20","3","Rotate","10000","8.386249999999999","493","657","7423","7426","-1633901159","0","Target","8","3","4","3","15","60","1","50","0"
"27","0","20","3.5","Rotate","10000","17.121875","5190","5222","5229","5229","-817929496","0","Target","8","3.5","4","3","15","60","1","50","0"
"29","0","20","3.5","Rotate","10000","4.581875","970","1133","-1","-1","-1930952742","0","Target","8","3.5","4","3","15","60","1","50","0"
"28","0","20","3.5","Rotate","10000","5.016249999999999","1165","-1","-1","-1","-1698627325","0","Target","8","3.5","4","3","15","60","1","50","0"
"34","0","20","4","Rotate","10000","12.306875","1383","6022","6031","6878","-1500058835","0","Target","8","4","4","3","15","60","1","50","0"
"33","0","20","4","Rotate","10000","9.979375","4820","-1","-1","-1","-1535653797","0","Target","8","4","4","3","15","60","1","50","0"
