"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"merged_models.nlogox"
"find-max-sheep-number-surround"
"02/11/2026 18:47:47:298 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-dogs","num-sheep","dog-speed","dog-strategy","[step]","get-success-percentage","get-tick-50pct","get-tick-80pct","get-tick-95pct","get-tick-100pct","current-run-seed","num-dogs","scenario","max-speed","dog-speed","k-neighbors","separation-distance","separation-weight","cohesion-weight","alignment-weight","fear-of-dogs","noise"
"1","0","20","1","Surround","10000","12.82375","4017","4024","4029","4029","1326580569","0","Target","8","1","4","3","15","60","1","50","0"
"10","0","20","1.5","Surround","10000","7.61375","2258","-1","-1","-1","1081487695","0","Target","8","1.5","4","3","15","60","1","50","0"
"3","0","20","1","Surround","10000","7.144375","1208","1234","1239","1239","1413912399","0","Target","8","1","4","3","15","60","1","50","0"
"12","0","20","2","Surround","10000","8.889375000000001","2203","5541","5670","5670","72920737","0","Target","8","2","4","3","15","60","1","50","0"
"9","0","20","1.5","Surround","10000","11.468750000000002","1121","5431","5447","5451","-794853113","0","Target","8","1.5","4","3","15","60","1","50","0"
"8","0","20","1.5","Surround","10000","15.583125","4309","4316","4385","4514","1895339548","0","Target","8","1.5","4","3","15","60","1","50","0"
"6","0","20","1.5","Surround","10000","7.754999999999999","6238","6243","6245","6247","1057333151","0","Target","8","1.5","4","3","15","60","1","50","0"
"11","0","20","2","Surround","10000","11.8725","1458","2121","2126","2127","1306866792","0","Target","8","2","4","3","15","60","1","50","0"
"7","0","20","1.5","Surround","10000","18.4975","728","7252","7254","7257","-1927147500","0","Target","8","1.5","4","3","15","60","1","50","0"
"4","0","20","1","Surround","10000","8.564374999999998","210","4280","4301","4303","-1336608666","0","Target","8","1","4","3","15","60","1","50","0"
"2","0","20","1","Surround","10000","7.1537500000000005","4781","6170","6175","6176","-1566695840","0","Target","8","1","4","3","15","60","1","50","0"
"5","0","20","1","Surround","10000","4.018125","913","1954","1956","1957","2141099167","0","Target","8","1","4","3","15","60","1","50","0"
"13","0","20","2","Surround","10000","1.605625","2607","-1","-1","-1","436376428","0","Target","8","2","4","3","15","60","1","50","0"
"18","0","20","2.5","Surround","10000","8.84625","673","-1","-1","-1","413422501","0","Target","8","2.5","4","3","15","60","1","50","0"
"16","0","20","2.5","Surround","10000","16.59","3168","8673","8686","9206","-1835668574","0","Target","8","2.5","4","3","15","60","1","50","0"
"19","0","20","2.5","Surround","10000","4.82375","1107","1563","1566","1567","2130021645","0","Target","8","2.5","4","3","15","60","1","50","0"
"17","0","20","2.5","Surround","10000","24.701249999999998","2120","3601","3619","3620","468559126","0","Target","8","2.5","4","3","15","60","1","50","0"
"20","0","20","2.5","Surround","10000","15.016250000000001","977","8861","8871","8873","1619689419","0","Target","8","2.5","4","3","15","60","1","50","0"
"14","0","20","2","Surround","10000","18.323125","6487","8128","8153","8153","-2048650056","0","Target","8","2","4","3","15","60","1","50","0"
"21","0","20","3","Surround","10000","2.8349999999999995","317","-1","-1","-1","-712867767","0","Target","8","3","4","3","15","60","1","50","0"
"22","0","20","3","Surround","10000","4.4350000000000005","908","938","942","945","581923833","0","Target","8","3","4","3","15","60","1","50","0"
"15","0","20","2","Surround","10000","7.305000000000001","4996","-1","-1","-1","993461732","0","Target","8","2","4","3","15","60","1","50","0"
